iso_alpha,year,lifeExp,pop,gdpPercap
AFG,1952,28.801,8425333,779.4453145
AFG,1957,30.332,9240934,820.8530296
AFG,1962,31.997,10267083,853.10071
AFG,1967,34.02,11537966,836.1971382
AFG,1972,36.088,13079460,739.9811058
AFG,1977,38.438,14880372,786.11336
AFG,1982,39.854,12881816,978.0114388
AFG,1987,40.822,13867957,852.3959448
AFG,1992,41.674,16317921,649.3413952
AFG,1997,41.763,22227415,635.341351
AFG,2002,42.129,25268405,726.7340548
AFG,2007,43.828,31889923,974.5803384
ALB,1952,55.23,1282697,1601.056136
ALB,1957,59.28,1476505,1942.284244
ALB,1962,64.82,1728137,2312.888958
ALB,1967,66.22,1984060,2760.196931
ALB,1972,67.69,2263554,3313.422188
ALB,1977,68.93,2509048,3533.00391
ALB,1982,70.42,2780097,3630.880722
ALB,1987,72,3075321,3738.932735
ALB,1992,71.581,3326498,2497.437901
ALB,1997,72.95,3428038,3193.054604
ALB,2002,75.651,3508512,4604.211737
ALB,2007,76.423,3600523,5937.029526
DZA,1952,43.077,9279525,2449.008185
DZA,1957,45.685,10270856,3013.976023
DZA,1962,48.303,11000948,2550.81688
DZA,1967,51.407,12760499,3246.991771
DZA,1972,54.518,14760787,4182.663766
DZA,1977,58.014,17152804,4910.416756
DZA,1982,61.368,20033753,5745.160213
DZA,1987,65.799,23254956,5681.358539
DZA,1992,67.744,26298373,5023.216647
DZA,1997,69.152,29072015,4797.295051
DZA,2002,70.994,31287142,5288.040382
DZA,2007,72.301,33333216,6223.367465
AGO,1952,30.015,4232095,3520.610273
AGO,1957,31.999,4561361,3827.940465
AGO,1962,34,4826015,4269.276742
AGO,1967,35.985,5247469,5522.776375
AGO,1972,37.928,5894858,5473.288005
AGO,1977,39.483,6162675,3008.647355
AGO,1982,39.942,7016384,2756.953672
AGO,1987,39.906,7874230,2430.208311
AGO,1992,40.647,8735988,2627.845685
AGO,1997,40.963,9875024,2277.140884
AGO,2002,41.003,10866106,2773.287312
AGO,2007,42.731,12420476,4797.231267
ARG,1952,62.485,17876956,5911.315053
ARG,1957,64.399,19610538,6856.856212
ARG,1962,65.142,21283783,7133.166023
ARG,1967,65.634,22934225,8052.953021
ARG,1972,67.065,24779799,9443.038526
ARG,1977,68.481,26983828,10079.02674
ARG,1982,69.942,29341374,8997.897412
ARG,1987,70.774,31620918,9139.671389
ARG,1992,71.868,33958947,9308.41871
ARG,1997,73.275,36203463,10967.28195
ARG,2002,74.34,38331121,8797.640716
ARG,2007,75.32,40301927,12779.37964
AUS,1952,69.12,8691212,10039.59564
AUS,1957,70.33,9712569,10949.64959
AUS,1962,70.93,10794968,12217.22686
AUS,1967,71.1,11872264,14526.12465
AUS,1972,71.93,13177000,16788.62948
AUS,1977,73.49,14074100,18334.19751
AUS,1982,74.74,15184200,19477.00928
AUS,1987,76.32,16257249,21888.88903
AUS,1992,77.56,17481977,23424.76683
AUS,1997,78.83,18565243,26997.93657
AUS,2002,80.37,19546792,30687.75473
AUS,2007,81.235,20434176,34435.36744
AUT,1952,66.8,6927772,6137.076492
AUT,1957,67.48,6965860,8842.59803
AUT,1962,69.54,7129864,10750.72111
AUT,1967,70.14,7376998,12834.6024
AUT,1972,70.63,7544201,16661.6256
AUT,1977,72.17,7568430,19749.4223
AUT,1982,73.18,7574613,21597.08362
AUT,1987,74.94,7578903,23687.82607
AUT,1992,76.04,7914969,27042.01868
AUT,1997,77.51,8069876,29095.92066
AUT,2002,78.98,8148312,32417.60769
AUT,2007,79.829,8199783,36126.4927
BHR,1952,50.939,120447,9867.084765
BHR,1957,53.832,138655,11635.79945
BHR,1962,56.923,171863,12753.27514
BHR,1967,59.923,202182,14804.6727
BHR,1972,63.3,230800,18268.65839
BHR,1977,65.593,297410,19340.10196
BHR,1982,69.052,377967,19211.14731
BHR,1987,70.75,454612,18524.02406
BHR,1992,72.601,529491,19035.57917
BHR,1997,73.925,598561,20292.01679
BHR,2002,74.795,656397,23403.55927
BHR,2007,75.635,708573,29796.04834
BGD,1952,37.484,46886859,684.2441716
BGD,1957,39.348,51365468,661.6374577
BGD,1962,41.216,56839289,686.3415538
BGD,1967,43.453,62821884,721.1860862
BGD,1972,45.252,70759295,630.2336265
BGD,1977,46.923,80428306,659.8772322
BGD,1982,50.009,93074406,676.9818656
BGD,1987,52.819,103764241,751.9794035
BGD,1992,56.018,113704579,837.8101643
BGD,1997,59.412,123315288,972.7700352
BGD,2002,62.013,135656790,1136.39043
BGD,2007,64.062,150448339,1391.253792
BEL,1952,68,8730405,8343.105127
BEL,1957,69.24,8989111,9714.960623
BEL,1962,70.25,9218400,10991.20676
BEL,1967,70.94,9556500,13149.04119
BEL,1972,71.44,9709100,16672.14356
BEL,1977,72.8,9821800,19117.97448
BEL,1982,73.93,9856303,20979.84589
BEL,1987,75.35,9870200,22525.56308
BEL,1992,76.46,10045622,25575.57069
BEL,1997,77.53,10199787,27561.19663
BEL,2002,78.32,10311970,30485.88375
BEL,2007,79.441,10392226,33692.60508
BEN,1952,38.223,1738315,1062.7522
BEN,1957,40.358,1925173,959.6010805
BEN,1962,42.618,2151895,949.4990641
BEN,1967,44.885,2427334,1035.831411
BEN,1972,47.014,2761407,1085.796879
BEN,1977,49.19,3168267,1029.161251
BEN,1982,50.904,3641603,1277.897616
BEN,1987,52.337,4243788,1225.85601
BEN,1992,53.919,4981671,1191.207681
BEN,1997,54.777,6066080,1232.975292
BEN,2002,54.406,7026113,1372.877931
BEN,2007,56.728,8078314,1441.284873
BOL,1952,40.414,2883315,2677.326347
BOL,1957,41.89,3211738,2127.686326
BOL,1962,43.428,3593918,2180.972546
BOL,1967,45.032,4040665,2586.886053
BOL,1972,46.714,4565872,2980.331339
BOL,1977,50.023,5079716,3548.097832
BOL,1982,53.859,5642224,3156.510452
BOL,1987,57.251,6156369,2753.69149
BOL,1992,59.957,6893451,2961.699694
BOL,1997,62.05,7693188,3326.143191
BOL,2002,63.883,8445134,3413.26269
BOL,2007,65.554,9119152,3822.137084
BIH,1952,53.82,2791000,973.5331948
BIH,1957,58.45,3076000,1353.989176
BIH,1962,61.93,3349000,1709.683679
BIH,1967,64.79,3585000,2172.352423
BIH,1972,67.45,3819000,2860.16975
BIH,1977,69.86,4086000,3528.481305
BIH,1982,70.69,4172693,4126.613157
BIH,1987,71.14,4338977,4314.114757
BIH,1992,72.178,4256013,2546.781445
BIH,1997,73.244,3607000,4766.355904
BIH,2002,74.09,4165416,6018.975239
BIH,2007,74.852,4552198,7446.298803
BWA,1952,47.622,442308,851.2411407
BWA,1957,49.618,474639,918.2325349
BWA,1962,51.52,512764,983.6539764
BWA,1967,53.298,553541,1214.709294
BWA,1972,56.024,619351,2263.611114
BWA,1977,59.319,781472,3214.857818
BWA,1982,61.484,970347,4551.14215
BWA,1987,63.622,1151184,6205.88385
BWA,1992,62.745,1342614,7954.111645
BWA,1997,52.556,1536536,8647.142313
BWA,2002,46.634,1630347,11003.60508
BWA,2007,50.728,1639131,12569.85177
BRA,1952,50.917,56602560,2108.944355
BRA,1957,53.285,65551171,2487.365989
BRA,1962,55.665,76039390,3336.585802
BRA,1967,57.632,88049823,3429.864357
BRA,1972,59.504,100840058,4985.711467
BRA,1977,61.489,114313951,6660.118654
BRA,1982,63.336,128962939,7030.835878
BRA,1987,65.205,142938076,7807.095818
BRA,1992,67.057,155975974,6950.283021
BRA,1997,69.388,168546719,7957.980824
BRA,2002,71.006,179914212,8131.212843
BRA,2007,72.39,190010647,9065.800825
BGR,1952,59.6,7274900,2444.286648
BGR,1957,66.61,7651254,3008.670727
BGR,1962,69.51,8012946,4254.337839
BGR,1967,70.42,8310226,5577.0028
BGR,1972,70.9,8576200,6597.494398
BGR,1977,70.81,8797022,7612.240438
BGR,1982,71.08,8892098,8224.191647
BGR,1987,71.34,8971958,8239.854824
BGR,1992,71.19,8658506,6302.623438
BGR,1997,70.32,8066057,5970.38876
BGR,2002,72.14,7661799,7696.777725
BGR,2007,73.005,7322858,10680.79282
BFA,1952,31.975,4469979,543.2552413
BFA,1957,34.906,4713416,617.1834648
BFA,1962,37.814,4919632,722.5120206
BFA,1967,40.697,5127935,794.8265597
BFA,1972,43.591,5433886,854.7359763
BFA,1977,46.137,5889574,743.3870368
BFA,1982,48.122,6634596,807.1985855
BFA,1987,49.557,7586551,912.0631417
BFA,1992,50.26,8878303,931.7527731
BFA,1997,50.324,10352843,946.2949618
BFA,2002,50.65,12251209,1037.645221
BFA,2007,52.295,14326203,1217.032994
BDI,1952,39.031,2445618,339.2964587
BDI,1957,40.533,2667518,379.5646281
BDI,1962,42.045,2961915,355.2032273
BDI,1967,43.548,3330989,412.9775136
BDI,1972,44.057,3529983,464.0995039
BDI,1977,45.91,3834415,556.1032651
BDI,1982,47.471,4580410,559.603231
BDI,1987,48.211,5126023,621.8188189
BDI,1992,44.736,5809236,631.6998778
BDI,1997,45.326,6121610,463.1151478
BDI,2002,47.36,7021078,446.4035126
BDI,2007,49.58,8390505,430.0706916
KHM,1952,39.417,4693836,368.4692856
KHM,1957,41.366,5322536,434.0383364
KHM,1962,43.415,6083619,496.9136476
KHM,1967,45.415,6960067,523.4323142
KHM,1972,40.317,7450606,421.6240257
KHM,1977,31.22,6978607,524.9721832
KHM,1982,50.957,7272485,624.4754784
KHM,1987,53.914,8371791,683.8955732
KHM,1992,55.803,10150094,682.3031755
KHM,1997,56.534,11782962,734.28517
KHM,2002,56.752,12926707,896.2260153
KHM,2007,59.723,14131858,1713.778686
CMR,1952,38.523,5009067,1172.667655
CMR,1957,40.428,5359923,1313.048099
CMR,1962,42.643,5793633,1399.607441
CMR,1967,44.799,6335506,1508.453148
CMR,1972,47.049,7021028,1684.146528
CMR,1977,49.355,7959865,1783.432873
CMR,1982,52.961,9250831,2367.983282
CMR,1987,54.985,10780667,2602.664206
CMR,1992,54.314,12467171,1793.163278
CMR,1997,52.199,14195809,1694.337469
CMR,2002,49.856,15929988,1934.011449
CMR,2007,50.43,17696293,2042.09524
CAN,1952,68.75,14785584,11367.16112
CAN,1957,69.96,17010154,12489.95006
CAN,1962,71.3,18985849,13462.48555
CAN,1967,72.13,20819767,16076.58803
CAN,1972,72.88,22284500,18970.57086
CAN,1977,74.21,23796400,22090.88306
CAN,1982,75.76,25201900,22898.79214
CAN,1987,76.86,26549700,26626.51503
CAN,1992,77.95,28523502,26342.88426
CAN,1997,78.61,30305843,28954.92589
CAN,2002,79.77,31902268,33328.96507
CAN,2007,80.653,33390141,36319.23501
CAF,1952,35.463,1291695,1071.310713
CAF,1957,37.464,1392284,1190.844328
CAF,1962,39.475,1523478,1193.068753
CAF,1967,41.478,1733638,1136.056615
CAF,1972,43.457,1927260,1070.013275
CAF,1977,46.775,2167533,1109.374338
CAF,1982,48.295,2476971,956.7529907
CAF,1987,50.485,2840009,844.8763504
CAF,1992,49.396,3265124,747.9055252
CAF,1997,46.066,3696513,740.5063317
CAF,2002,43.308,4048013,738.6906068
CAF,2007,44.741,4369038,706.016537
TCD,1952,38.092,2682462,1178.665927
TCD,1957,39.881,2894855,1308.495577
TCD,1962,41.716,3150417,1389.817618
TCD,1967,43.601,3495967,1196.810565
TCD,1972,45.569,3899068,1104.103987
TCD,1977,47.383,4388260,1133.98495
TCD,1982,49.517,4875118,797.9081006
TCD,1987,51.051,5498955,952.386129
TCD,1992,51.724,6429417,1058.0643
TCD,1997,51.573,7562011,1004.961353
TCD,2002,50.525,8835739,1156.18186
TCD,2007,50.651,10238807,1704.063724
CHL,1952,54.745,6377619,3939.978789
CHL,1957,56.074,7048426,4315.622723
CHL,1962,57.924,7961258,4519.094331
CHL,1967,60.523,8858908,5106.654313
CHL,1972,63.441,9717524,5494.024437
CHL,1977,67.052,10599793,4756.763836
CHL,1982,70.565,11487112,5095.665738
CHL,1987,72.492,12463354,5547.063754
CHL,1992,74.126,13572994,7596.125964
CHL,1997,75.816,14599929,10118.05318
CHL,2002,77.86,15497046,10778.78385
CHL,2007,78.553,16284741,13171.63885
CHN,1952,44,556263527,400.448611
CHN,1957,50.54896,637408000,575.9870009
CHN,1962,44.50136,665770000,487.6740183
CHN,1967,58.38112,754550000,612.7056934
CHN,1972,63.11888,862030000,676.9000921
CHN,1977,63.96736,943455000,741.2374699
CHN,1982,65.525,1000281000,962.4213805
CHN,1987,67.274,1084035000,1378.904018
CHN,1992,68.69,1164970000,1655.784158
CHN,1997,70.426,1230075000,2289.234136
CHN,2002,72.028,1280400000,3119.280896
CHN,2007,72.961,1318683096,4959.114854
COL,1952,50.643,12350771,2144.115096
COL,1957,55.118,14485993,2323.805581
COL,1962,57.863,17009885,2492.351109
COL,1967,59.963,19764027,2678.729839
COL,1972,61.623,22542890,3264.660041
COL,1977,63.837,25094412,3815.80787
COL,1982,66.653,27764644,4397.575659
COL,1987,67.768,30964245,4903.2191
COL,1992,68.421,34202721,5444.648617
COL,1997,70.313,37657830,6117.361746
COL,2002,71.682,41008227,5755.259962
COL,2007,72.889,44227550,7006.580419
COM,1952,40.715,153936,1102.990936
COM,1957,42.46,170928,1211.148548
COM,1962,44.467,191689,1406.648278
COM,1967,46.472,217378,1876.029643
COM,1972,48.944,250027,1937.577675
COM,1977,50.939,304739,1172.603047
COM,1982,52.933,348643,1267.100083
COM,1987,54.926,395114,1315.980812
COM,1992,57.939,454429,1246.90737
COM,1997,60.66,527982,1173.618235
COM,2002,62.974,614382,1075.811558
COM,2007,65.152,710960,986.1478792
COD,1952,39.143,14100005,780.5423257
COD,1957,40.652,15577932,905.8602303
COD,1962,42.122,17486434,896.3146335
COD,1967,44.056,19941073,861.5932424
COD,1972,45.989,23007669,904.8960685
COD,1977,47.804,26480870,795.757282
COD,1982,47.784,30646495,673.7478181
COD,1987,47.412,35481645,672.774812
COD,1992,45.548,41672143,457.7191807
COD,1997,42.587,47798986,312.188423
COD,2002,44.966,55379852,241.1658765
COD,2007,46.462,64606759,277.5518587
COG,1952,42.111,854885,2125.621418
COG,1957,45.053,940458,2315.056572
COG,1962,48.435,1047924,2464.783157
COG,1967,52.04,1179760,2677.939642
COG,1972,54.907,1340458,3213.152683
COG,1977,55.625,1536769,3259.178978
COG,1982,56.695,1774735,4879.507522
COG,1987,57.47,2064095,4201.194937
COG,1992,56.433,2409073,4016.239529
COG,1997,52.962,2800947,3484.164376
COG,2002,52.97,3328795,3484.06197
COG,2007,55.322,3800610,3632.557798
CRI,1952,57.206,926317,2627.009471
CRI,1957,60.026,1112300,2990.010802
CRI,1962,62.842,1345187,3460.937025
CRI,1967,65.424,1588717,4161.727834
CRI,1972,67.849,1834796,5118.146939
CRI,1977,70.75,2108457,5926.876967
CRI,1982,73.45,2424367,5262.734751
CRI,1987,74.752,2799811,5629.915318
CRI,1992,75.713,3173216,6160.416317
CRI,1997,77.26,3518107,6677.045314
CRI,2002,78.123,3834934,7723.447195
CRI,2007,78.782,4133884,9645.06142
CIV,1952,40.477,2977019,1388.594732
CIV,1957,42.469,3300000,1500.895925
CIV,1962,44.93,3832408,1728.869428
CIV,1967,47.35,4744870,2052.050473
CIV,1972,49.801,6071696,2378.201111
CIV,1977,52.374,7459574,2517.736547
CIV,1982,53.983,9025951,2602.710169
CIV,1987,54.655,10761098,2156.956069
CIV,1992,52.044,12772596,1648.073791
CIV,1997,47.991,14625967,1786.265407
CIV,2002,46.832,16252726,1648.800823
CIV,2007,48.328,18013409,1544.750112
HRV,1952,61.21,3882229,3119.23652
HRV,1957,64.77,3991242,4338.231617
HRV,1962,67.13,4076557,5477.890018
HRV,1967,68.5,4174366,6960.297861
HRV,1972,69.61,4225310,9164.090127
HRV,1977,70.64,4318673,11305.38517
HRV,1982,70.46,4413368,13221.82184
HRV,1987,71.52,4484310,13822.58394
HRV,1992,72.527,4494013,8447.794873
HRV,1997,73.68,4444595,9875.604515
HRV,2002,74.876,4481020,11628.38895
HRV,2007,75.748,4493312,14619.22272
CUB,1952,59.421,6007797,5586.53878
CUB,1957,62.325,6640752,6092.174359
CUB,1962,65.246,7254373,5180.75591
CUB,1967,68.29,8139332,5690.268015
CUB,1972,70.723,8831348,5305.445256
CUB,1977,72.649,9537988,6380.494966
CUB,1982,73.717,9789224,7316.918107
CUB,1987,74.174,10239839,7532.924763
CUB,1992,74.414,10723260,5592.843963
CUB,1997,76.151,10983007,5431.990415
CUB,2002,77.158,11226999,6340.646683
CUB,2007,78.273,11416987,8948.102923
CZE,1952,66.87,9125183,6876.14025
CZE,1957,69.03,9513758,8256.343918
CZE,1962,69.9,9620282,10136.86713
CZE,1967,70.38,9835109,11399.44489
CZE,1972,70.29,9862158,13108.4536
CZE,1977,70.71,10161915,14800.16062
CZE,1982,70.96,10303704,15377.22855
CZE,1987,71.58,10311597,16310.4434
CZE,1992,72.4,10315702,14297.02122
CZE,1997,74.01,10300707,16048.51424
CZE,2002,75.51,10256295,17596.21022
CZE,2007,76.486,10228744,22833.30851
DNK,1952,70.78,4334000,9692.385245
DNK,1957,71.81,4487831,11099.65935
DNK,1962,72.35,4646899,13583.31351
DNK,1967,72.96,4838800,15937.21123
DNK,1972,73.47,4991596,18866.20721
DNK,1977,74.69,5088419,20422.9015
DNK,1982,74.63,5117810,21688.04048
DNK,1987,74.8,5127024,25116.17581
DNK,1992,75.33,5171393,26406.73985
DNK,1997,76.11,5283663,29804.34567
DNK,2002,77.18,5374693,32166.50006
DNK,2007,78.332,5468120,35278.41874
DJI,1952,34.812,63149,2669.529475
DJI,1957,37.328,71851,2864.969076
DJI,1962,39.693,89898,3020.989263
DJI,1967,42.074,127617,3020.050513
DJI,1972,44.366,178848,3694.212352
DJI,1977,46.519,228694,3081.761022
DJI,1982,48.812,305991,2879.468067
DJI,1987,50.04,311025,2880.102568
DJI,1992,51.604,384156,2377.156192
DJI,1997,53.157,417908,1895.016984
DJI,2002,53.373,447416,1908.260867
DJI,2007,54.791,496374,2082.481567
DOM,1952,45.928,2491346,1397.717137
DOM,1957,49.828,2923186,1544.402995
DOM,1962,53.459,3453434,1662.137359
DOM,1967,56.751,4049146,1653.723003
DOM,1972,59.631,4671329,2189.874499
DOM,1977,61.788,5302800,2681.9889
DOM,1982,63.727,5968349,2861.092386
DOM,1987,66.046,6655297,2899.842175
DOM,1992,68.457,7351181,3044.214214
DOM,1997,69.957,7992357,3614.101285
DOM,2002,70.847,8650322,4563.808154
DOM,2007,72.235,9319622,6025.374752
ECU,1952,48.357,3548753,3522.110717
ECU,1957,51.356,4058385,3780.546651
ECU,1962,54.64,4681707,4086.114078
ECU,1967,56.678,5432424,4579.074215
ECU,1972,58.796,6298651,5280.99471
ECU,1977,61.31,7278866,6679.62326
ECU,1982,64.342,8365850,7213.791267
ECU,1987,67.231,9545158,6481.776993
ECU,1992,69.613,10748394,7103.702595
ECU,1997,72.312,11911819,7429.455877
ECU,2002,74.173,12921234,5773.044512
ECU,2007,74.994,13755680,6873.262326
EGY,1952,41.893,22223309,1418.822445
EGY,1957,44.444,25009741,1458.915272
EGY,1962,46.992,28173309,1693.335853
EGY,1967,49.293,31681188,1814.880728
EGY,1972,51.137,34807417,2024.008147
EGY,1977,53.319,38783863,2785.493582
EGY,1982,56.006,45681811,3503.729636
EGY,1987,59.797,52799062,3885.46071
EGY,1992,63.674,59402198,3794.755195
EGY,1997,67.217,66134291,4173.181797
EGY,2002,69.806,73312559,4754.604414
EGY,2007,71.338,80264543,5581.180998
SLV,1952,45.262,2042865,3048.3029
SLV,1957,48.57,2355805,3421.523218
SLV,1962,52.307,2747687,3776.803627
SLV,1967,55.855,3232927,4358.595393
SLV,1972,58.207,3790903,4520.246008
SLV,1977,56.696,4282586,5138.922374
SLV,1982,56.604,4474873,4098.344175
SLV,1987,63.154,4842194,4140.442097
SLV,1992,66.798,5274649,4444.2317
SLV,1997,69.535,5783439,5154.825496
SLV,2002,70.734,6353681,5351.568666
SLV,2007,71.878,6939688,5728.353514
GNQ,1952,34.482,216964,375.6431231
GNQ,1957,35.983,232922,426.0964081
GNQ,1962,37.485,249220,582.8419714
GNQ,1967,38.987,259864,915.5960025
GNQ,1972,40.516,277603,672.4122571
GNQ,1977,42.024,192675,958.5668124
GNQ,1982,43.662,285483,927.8253427
GNQ,1987,45.664,341244,966.8968149
GNQ,1992,47.545,387838,1132.055034
GNQ,1997,48.245,439971,2814.480755
GNQ,2002,49.348,495627,7703.4959
GNQ,2007,51.579,551201,12154.08975
ERI,1952,35.928,1438760,328.9405571
ERI,1957,38.047,1542611,344.1618859
ERI,1962,40.158,1666618,380.9958433
ERI,1967,42.189,1820319,468.7949699
ERI,1972,44.142,2260187,514.3242082
ERI,1977,44.535,2512642,505.7538077
ERI,1982,43.89,2637297,524.8758493
ERI,1987,46.453,2915959,521.1341333
ERI,1992,49.991,3668440,582.8585102
ERI,1997,53.378,4058319,913.47079
ERI,2002,55.24,4414865,765.3500015
ERI,2007,58.04,4906585,641.3695236
ETH,1952,34.078,20860941,362.1462796
ETH,1957,36.667,22815614,378.9041632
ETH,1962,40.059,25145372,419.4564161
ETH,1967,42.115,27860297,516.1186438
ETH,1972,43.515,30770372,566.2439442
ETH,1977,44.51,34617799,556.8083834
ETH,1982,44.916,38111756,577.8607471
ETH,1987,46.684,42999530,573.7413142
ETH,1992,48.091,52088559,421.3534653
ETH,1997,49.402,59861301,515.8894013
ETH,2002,50.725,67946797,530.0535319
ETH,2007,52.947,76511887,690.8055759
FIN,1952,66.55,4090500,6424.519071
FIN,1957,67.49,4324000,7545.415386
FIN,1962,68.75,4491443,9371.842561
FIN,1967,69.83,4605744,10921.63626
FIN,1972,70.87,4639657,14358.8759
FIN,1977,72.52,4738902,15605.42283
FIN,1982,74.55,4826933,18533.15761
FIN,1987,74.83,4931729,21141.01223
FIN,1992,75.7,5041039,20647.16499
FIN,1997,77.13,5134406,23723.9502
FIN,2002,78.37,5193039,28204.59057
FIN,2007,79.313,5238460,33207.0844
FRA,1952,67.41,42459667,7029.809327
FRA,1957,68.93,44310863,8662.834898
FRA,1962,70.51,47124000,10560.48553
FRA,1967,71.55,49569000,12999.91766
FRA,1972,72.38,51732000,16107.19171
FRA,1977,73.83,53165019,18292.63514
FRA,1982,74.89,54433565,20293.89746
FRA,1987,76.34,55630100,22066.44214
FRA,1992,77.46,57374179,24703.79615
FRA,1997,78.64,58623428,25889.78487
FRA,2002,79.59,59925035,28926.03234
FRA,2007,80.657,61083916,30470.0167
GAB,1952,37.003,420702,4293.476475
GAB,1957,38.999,434904,4976.198099
GAB,1962,40.489,455661,6631.459222
GAB,1967,44.598,489004,8358.761987
GAB,1972,48.69,537977,11401.94841
GAB,1977,52.79,706367,21745.57328
GAB,1982,56.564,753874,15113.36194
GAB,1987,60.19,880397,11864.40844
GAB,1992,61.366,985739,13522.15752
GAB,1997,60.461,1126189,14722.84188
GAB,2002,56.761,1299304,12521.71392
GAB,2007,56.735,1454867,13206.48452
GMB,1952,30,284320,485.2306591
GMB,1957,32.065,323150,520.9267111
GMB,1962,33.896,374020,599.650276
GMB,1967,35.857,439593,734.7829124
GMB,1972,38.308,517101,756.0868363
GMB,1977,41.842,608274,884.7552507
GMB,1982,45.58,715523,835.8096108
GMB,1987,49.265,848406,611.6588611
GMB,1992,52.644,1025384,665.6244126
GMB,1997,55.861,1235767,653.7301704
GMB,2002,58.041,1457766,660.5855997
GMB,2007,59.448,1688359,752.7497265
DEU,1952,67.5,69145952,7144.114393
DEU,1957,69.1,71019069,10187.82665
DEU,1962,70.3,73739117,12902.46291
